audio_name,primary_emotion
./IEMOCAP_Dataset/Session1/sentences/wav/Ses01M_impro05/Ses01M_impro05_F022.wav,Neutral
./IEMOCAP_Dataset/Session3/sentences/wav/Ses03M_script02_2/Ses03M_script02_2_M036.wav,Sad
./IEMOCAP_Dataset/Session5/sentences/wav/Ses05M_script01_2/Ses05M_script01_2_M002.wav,Frustrated
./IEMOCAP_Dataset/Session4/sentences/wav/Ses04M_script01_2/Ses04M_script01_2_M012.wav,Frustrated
./IEMOCAP_Dataset/Session1/sentences/wav/Ses01M_script03_1/Ses01M_script03_1_F041.wav,Excited
./IEMOCAP_Dataset/Session2/sentences/wav/Ses02M_impro05/Ses02M_impro05_M003.wav,Neutral
./IEMOCAP_Dataset/Session2/sentences/wav/Ses02F_script03_1/Ses02F_script03_1_F014.wav,Neutral
./IEMOCAP_Dataset/Session1/sentences/wav/Ses01F_script01_2/Ses01F_script01_2_F008.wav,Angry
./IEMOCAP_Dataset/Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_F024.wav,Excited
./IEMOCAP_Dataset/Session2/sentences/wav/Ses02M_impro08/Ses02M_impro08_F018.wav,Fearful
./IEMOCAP_Dataset/Session2/sentences/wav/Ses02M_script03_2/Ses02M_script03_2_M024.wav,Neutral
./IEMOCAP_Dataset/Session3/sentences/wav/Ses03M_impro05a/Ses03M_impro05a_M023.wav,Angry
./IEMOCAP_Dataset/Session5/sentences/wav/Ses05F_impro07/Ses05F_impro07_F033.wav,Excited
./IEMOCAP_Dataset/Session1/sentences/wav/Ses01M_impro02/Ses01M_impro02_F017.wav,Sad
./IEMOCAP_Dataset/Session2/sentences/wav/Ses02F_impro05/Ses02F_impro05_M020.wav,Neutral
./IEMOCAP_Dataset/Session4/sentences/wav/Ses04F_impro08/Ses04F_impro08_M002.wav,Frustrated
./IEMOCAP_Dataset/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M016.wav,Neutral
./IEMOCAP_Dataset/Session5/sentences/wav/Ses05M_script01_1/Ses05M_script01_1_M037.wav,Angry
./IEMOCAP_Dataset/Session5/sentences/wav/Ses05F_script01_1/Ses05F_script01_1_F034.wav,Angry
./IEMOCAP_Dataset/Session2/sentences/wav/Ses02F_impro02/Ses02F_impro02_F011.wav,Sad
./IEMOCAP_Dataset/Session4/sentences/wav/Ses04M_impro02/Ses04M_impro02_M004.wav,Frustrated
./IEMOCAP_Dataset/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F004.wav,Neutral
./IEMOCAP_Dataset/Session4/sentences/wav/Ses04M_impro08/Ses04M_impro08_F016.wav,Frustrated
./IEMOCAP_Dataset/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M017.wav,Frustrated
./IEMOCAP_Dataset/Session3/sentences/wav/Ses03F_script01_1/Ses03F_script01_1_M053.wav,Neutral
./IEMOCAP_Dataset/Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F026.wav,Excited
./IEMOCAP_Dataset/Session3/sentences/wav/Ses03M_impro05b/Ses03M_impro05b_F022.wav,Neutral
./IEMOCAP_Dataset/Session2/sentences/wav/Ses02M_impro06/Ses02M_impro06_M000.wav,Sad
./IEMOCAP_Dataset/Session3/sentences/wav/Ses03M_script02_2/Ses03M_script02_2_M008.wav,Frustrated
./IEMOCAP_Dataset/Session5/sentences/wav/Ses05M_impro07/Ses05M_impro07_M045.wav,Excited
./IEMOCAP_Dataset/Session5/sentences/wav/Ses05M_impro03/Ses05M_impro03_M030.wav,Happy
./IEMOCAP_Dataset/Session5/sentences/wav/Ses05F_script01_1/Ses05F_script01_1_M009.wav,Sad
./IEMOCAP_Dataset/Session1/sentences/wav/Ses01M_script03_1/Ses01M_script03_1_F024.wav,Happy
./IEMOCAP_Dataset/Session2/sentences/wav/Ses02M_script02_1/Ses02M_script02_1_F007.wav,Frustrated
./IEMOCAP_Dataset/Session3/sentences/wav/Ses03F_script01_2/Ses03F_script01_2_M017.wav,Angry
./IEMOCAP_Dataset/Session5/sentences/wav/Ses05F_impro05/Ses05F_impro05_M010.wav,Neutral
./IEMOCAP_Dataset/Session5/sentences/wav/Ses05F_script01_2/Ses05F_script01_2_F016.wav,Sad
./IEMOCAP_Dataset/Session5/sentences/wav/Ses05F_impro05/Ses05F_impro05_M013.wav,Frustrated
./IEMOCAP_Dataset/Session3/sentences/wav/Ses03M_impro06/Ses03M_impro06_M012.wav,Sad
./IEMOCAP_Dataset/Session4/sentences/wav/Ses04M_impro02/Ses04M_impro02_M021.wav,Frustrated
./IEMOCAP_Dataset/Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M013.wav,Excited
./IEMOCAP_Dataset/Session5/sentences/wav/Ses05F_script03_2/Ses05F_script03_2_F039.wav,Angry
./IEMOCAP_Dataset/Session5/sentences/wav/Ses05M_impro05/Ses05M_impro05_M022.wav,Neutral
./IEMOCAP_Dataset/Session3/sentences/wav/Ses03M_script02_2/Ses03M_script02_2_F008.wav,Frustrated
./IEMOCAP_Dataset/Session5/sentences/wav/Ses05F_script02_2/Ses05F_script02_2_M012.wav,Frustrated
./IEMOCAP_Dataset/Session5/sentences/wav/Ses05M_script03_1/Ses05M_script03_1_M020.wav,Excited
./IEMOCAP_Dataset/Session5/sentences/wav/Ses05F_impro04/Ses05F_impro04_M004.wav,Neutral
./IEMOCAP_Dataset/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F031.wav,Frustrated
./IEMOCAP_Dataset/Session5/sentences/wav/Ses05F_impro02/Ses05F_impro02_F012.wav,Sad
./IEMOCAP_Dataset/Session2/sentences/wav/Ses02F_impro01/Ses02F_impro01_F008.wav,Frustrated
./IEMOCAP_Dataset/Session4/sentences/wav/Ses04M_impro03/Ses04M_impro03_F003.wav,Excited
./IEMOCAP_Dataset/Session4/sentences/wav/Ses04M_impro08/Ses04M_impro08_F008.wav,Frustrated
